,comm_num,community,area_kmsq,length_streets_m,percent of housing crowded,percent households below poverty,percent aged 16+ unemployed,percent aged 25+ without high school diploma,percent aged under 18 or over 64,per capita income ,hardship index,geoid,med_age,white,hisp,black,asian,other,pop,percent_white,percent_hisp,percent_black,percent_asian,percent_other
49,50,PULLMAN,59.001555602,54629.81880865096,1.5,21.6,22.8,13.1,38.6,20588,51.0,50.0,40.7,682.0,377.0,5544.0,9.0,228.0,7522.0,9.066737569795267,5.011964902951343,73.70380218027121,0.11964902951342729,3.0311087476734913
50,51,SOUTH DEERING,303.79705966,115042.20561944168,4.0,29.2,16.3,21.0,39.5,14685,65.0,51.0,34.3,587.0,4767.0,10077.0,0.0,44.0,16062.0,3.6545884696799904,29.678744863653346,62.738139708629056,0.0,0.27393848835761425
51,52,EAST SIDE,83.2417280493,83681.79112215897,6.8,19.2,12.1,31.9,42.8,17104,64.0,52.0,32.1,3251.0,19422.0,867.0,106.0,45.0,26942.0,12.066661717764086,72.08818944399079,3.2180239031994655,0.39343775517778934,0.1670254621037785
52,53,WEST PULLMAN,99.3651980822,118730.267121021,3.3,25.9,19.4,20.5,42.1,16563,62.0,53.0,36.4,212.0,1551.0,24762.0,0.0,513.0,27250.0,0.7779816513761467,5.6917431192660555,90.86972477064221,0.0,1.8825688073394495
53,54,RIVERDALE,98.3894974143,51662.648140320205,5.8,56.5,34.6,27.5,51.5,8201,98.0,54.0,23.1,89.0,258.0,6990.0,22.0,0.0,7448.0,1.1949516648764769,3.4640171858216973,93.85069817400644,0.2953813104189044,0.0
54,55,HEGEWISCH,145.965741437,60937.5036491367,3.3,17.1,9.6,19.2,42.9,22677,44.0,55.0,41.3,3198.0,5515.0,385.0,1.0,22.0,12319.0,25.959899342479098,44.76824417566361,3.125253673187759,0.008117542008279893,0.17858592418215763
55,56,GARFIELD RIDGE,117.890778429,131053.69488516056,2.6,8.8,11.3,19.3,38.1,26353,32.0,56.0,39.0,15550.0,18916.0,1954.0,450.0,274.0,52694.0,29.51000113864956,35.8978251793373,3.7082020723422024,0.8539871712149391,0.5199832998064295
56,57,ARCHER HEIGHTS,55.9225057212,52339.19758446984,8.5,14.1,16.5,35.9,39.2,16134,67.0,57.0,31.7,2104.0,10608.0,131.0,818.0,41.0,15806.0,13.311400733898521,67.11375427053018,0.828799190180944,5.17524990509933,0.25939516639250915
57,58,BRIGHTON PARK,75.8927903114,84596.36233447795,14.4,23.6,13.9,45.1,39.3,13089,84.0,58.0,31.3,3014.0,35720.0,529.0,4514.0,379.0,47170.0,6.389654441382235,75.72609709561162,1.1214755140979435,9.569641721433115,0.8034767860928556
58,59,MCKINLEY PARK,39.4317996479,51140.1892479394,7.2,18.7,13.4,32.9,35.6,16954,61.0,59.0,36.2,2625.0,8552.0,221.0,3625.0,154.0,17802.0,14.745534209639366,48.03954611841366,1.2414335467924953,20.36288057521627,0.8650713402988428
59,60,BRIDGEPORT,58.2915192767,79308.92500356521,4.5,18.9,13.7,22.2,31.3,22694,43.0,60.0,37.5,11806.0,7545.0,1039.0,13648.0,443.0,46287.0,25.506081621189537,16.300473135005507,2.244690733899367,29.48560070862229,0.9570721800937628
60,61,NEW CITY,134.636963254,129029.66814406903,11.9,29.0,23.0,41.5,38.9,12765,91.0,61.0,32.1,4991.0,24266.0,9096.0,763.0,327.0,44434.0,11.232389611558716,54.611333663410896,20.470810640500517,1.7171535310798038,0.7359229418913444
61,62,WEST ELSDON,32.7110914259,40924.94268853287,11.1,15.6,16.7,37.0,37.7,15754,69.0,62.0,31.2,2775.0,15490.0,320.0,539.0,26.0,21925.0,12.656784492588368,70.64994298745724,1.459521094640821,2.458380843785633,0.11858608893956671
62,63,GAGE PARK,61.2848961132,69508.22076985089,15.8,23.4,18.2,51.5,38.8,12171,93.0,63.0,29.1,1475.0,34222.0,1497.0,232.0,52.0,38953.0,3.7866146381536723,87.85459399789491,3.843092958180371,0.5955895566451878,0.13349421097219727
63,64,CLEARING,71.1451923827,72651.89867912457,2.7,8.9,9.5,18.8,37.6,25113,29.0,64.0,36.3,10445.0,13502.0,567.0,126.0,336.0,35421.0,29.488156743174954,38.118630191129554,1.6007453205725417,0.3557211823494537,0.9485898195985433
64,65,WEST LAWN,82.3153016831,79969.79648623723,5.8,14.9,9.6,33.6,39.6,16907,56.0,65.0,32.9,4028.0,26775.0,845.0,142.0,96.0,35914.0,11.215681906777302,74.55309907000056,2.35284290248928,0.3953889847970151,0.26730522915854543
65,66,CHICAGO LAWN,98.2794651151,114346.89901076151,7.6,27.9,17.1,31.2,40.6,13231,80.0,66.0,32.1,1525.0,26481.0,22177.0,265.0,904.0,52877.0,2.8840516670764225,50.08037521039393,41.9407303742648,0.5011630765739358,1.7096280046144825
66,67,WEST ENGLEWOOD,87.9476919478,114578.35101018655,4.8,34.4,35.9,26.3,40.7,11317,89.0,67.0,40.3,425.0,2468.0,23097.0,24.0,332.0,26771.0,1.5875387546225392,9.21893093272571,86.27619438945128,0.08964924731986104,1.2401479212580777
67,68,ENGLEWOOD,85.6523230826,123562.07430622661,3.8,46.6,28.0,28.5,42.5,11888,94.0,68.0,34.3,140.0,846.0,21692.0,68.0,175.0,23061.0,0.6070855557000997,3.6685312865877457,94.0635705303326,0.29487012705433413,0.7588569446251247
68,69,GREATER GRAND CROSSING,98.8531677093,127708.19027244879,3.6,29.6,23.0,16.5,41.0,17285,66.0,69.0,35.8,304.0,524.0,28839.0,4.0,478.0,30453.0,0.9982596131743999,1.7206843332348207,94.70002955373855,0.013134994910189471,1.5696318917676417
69,70,ASHBURN,135.460337208,152829.70358621882,4.0,10.4,11.7,17.7,36.9,23482,37.0,70.0,36.4,4110.0,17918.0,19888.0,410.0,1030.0,47466.0,8.658829477942106,37.749125689967556,41.89946488012472,0.8637761766316943,2.1699742973918172
70,71,AUBURN GRESHAM,105.065353602,136022.5867332402,4.0,27.6,28.3,18.5,41.9,15528,74.0,71.0,40.5,524.0,1001.0,43791.0,141.0,452.0,46433.0,1.128507742338423,2.155794370383133,94.31008119225551,0.30366334288114055,0.9734456098033726
71,72,BEVERLY,88.7793639384,95210.62705148869,0.9,5.1,8.0,3.7,40.5,39523,12.0,72.0,44.6,11383.0,978.0,6774.0,160.0,496.0,31174.0,36.514403028164494,3.13722974273433,21.729646500288702,0.513248219670238,1.591069480977738
72,73,WASHINGTON HEIGHTS,79.6357528769,112853.90447158583,1.1,16.9,20.8,13.7,42.6,19713,48.0,73.0,41.9,360.0,305.0,25698.0,43.0,336.0,27102.0,1.3283152534868277,1.1253782008707844,94.81957051140138,0.1586598774998155,1.2397609032543724
73,74,MOUNT GREENWOOD,75.5842900209,70760.2716877041,1.0,3.4,8.7,4.3,36.8,34381,16.0,74.0,37.8,15899.0,2010.0,678.0,354.0,249.0,35089.0,45.310496166889905,5.728290917381516,1.9322294736242127,1.008863176494058,0.7096240987203967
74,75,MORGAN PARK,91.8773406988,111872.62625180683,0.8,13.2,15.0,10.8,40.3,27149,30.0,75.0,43.5,6320.0,901.0,13216.0,61.0,570.0,27388.0,23.075799620271653,3.2897619395355635,48.2547100920111,0.22272528114502702,2.0812034467650067
75,76,OHARE,371.835607687,205033.9676902318,3.6,15.4,7.1,10.9,30.3,25828,24.0,76.0,37.4,9603.0,1381.0,256.0,1582.0,253.0,22678.0,42.34500396860393,6.089602257694682,1.1288473410353648,6.9759238028044805,1.1156186612576064
76,77,EDGEWATER,48.4499908397,58617.599530734,4.1,18.2,9.2,9.7,23.8,33385,19.0,77.0,38.3,32630.0,8673.0,7096.0,7169.0,2081.0,90279.0,36.143510672470896,9.606885322167946,7.860078202018188,7.940938645753719,2.3050764851183554
